n,time,tourLength
2,0,32
3,0,103
4,0,150
5,0,127
6,0,156
7,0,141
8,0,222
9,0,243
10,0,176
11,0,276
12,0,227
13,1,408
14,0,310
15,1,329
16,0,361
17,0,436
18,1,571
19,0,367
20,0,536
21,2,629
22,0,519
23,0,577
24,0,449
25,0,542
26,1,644
27,0,672
28,0,635
29,1,844
30,0,831
31,0,863
32,0,676
33,0,1012
34,0,864
35,0,1065
36,1,1013
37,0,985
38,0,770
39,0,1129
40,0,924
41,1,1005
42,1,972
43,0,1423
44,0,1103
45,1,1316
46,1,1264
47,0,1400
48,1,1026
49,1,1286
50,1,1072
53,1,1585
56,1,1522
59,1,1296
62,0,1666
65,1,1873
68,2,1815
71,1,1915
74,2,2334
77,3,2004
80,2,2495
83,1,2284
86,3,2293
89,3,2350
92,2,2535
95,2,2683
98,3,2921
101,5,2495
106,3,2853
111,4,3230
116,6,3495
121,5,3122
126,8,3281
131,6,3379
136,9,3219
141,5,4388
146,10,3773
151,8,3807
156,10,4501
161,13,3932
166,8,4380
171,12,4225
176,13,4659
181,13,4794
186,17,5376
191,10,5172
196,20,5567
201,15,5220
206,21,5702
211,22,5734
216,23,5856
221,25,5859
226,18,6509
231,20,6511
236,28,6273
241,30,6666
246,25,7173
251,31,6352
256,32,6725
261,34,7633
266,36,7392
271,37,7561
276,38,7669
281,39,8178
286,41,7739
291,42,8363
296,44,8433
301,45,8366
306,47,8337
311,48,8187
316,51,9182
321,52,9073
326,56,8709
331,54,9439
336,46,9492
341,58,9521
346,60,9835
351,63,9884
356,64,10204
361,64,10370
366,66,10694
371,69,10371
376,71,10706
381,71,10451
386,74,11245
391,76,11899
396,78,11946
401,80,12434
406,81,12340
411,84,11942
416,86,12050
421,88,11842
426,90,12592
431,95,13107
436,95,13302
441,96,13327
446,99,14174
451,101,12549
456,103,14161
461,106,14670
466,107,13714
471,110,14716
476,115,14688
481,116,14113
486,117,14670
491,119,14697
496,123,14988
501,125,15094
511,130,15536
521,134,15925
531,139,15632
541,144,16787
551,149,16853
561,156,17539
571,161,17049
581,167,17102
591,175,17802
601,180,19444
611,186,18868
621,191,19923
631,197,20560
641,204,19715
651,209,20208
661,216,19946
671,223,20374
681,230,21965
691,238,22643
701,243,22180
711,250,23483
721,259,23302
731,267,23205
741,272,23582
751,282,23395
761,286,24000
771,294,24130
781,306,25159
791,321,25402
801,320,25641
811,329,25396
821,346,27157
831,343,27014
841,325,26597
851,329,28614
861,352,28175
871,346,27806
881,357,29136
891,367,28892
901,368,30224
911,381,28827
921,394,29978
931,395,30269
941,411,30652
951,418,29731
961,431,31477
971,427,31951
981,437,32390
991,459,33965
1001,451,32615
1026,478,34760
1051,491,35390
1076,522,35873
1101,551,36774
1126,581,37058
1151,620,39140
1176,644,39250
1201,663,42553
1226,691,41726
1251,713,44157
1276,759,42935
1301,777,46215
1326,823,44885
1351,855,46247
1376,856,46048
1401,921,46573
1426,989,49157
1451,953,50013
1476,1032,52248
1501,1074,53302
1526,1070,52268
1551,1131,55530
1576,1214,55871
1601,1200,56027
1626,1271,56346
1651,1402,57418
1676,1356,59219
1701,1417,59474
1726,1501,60366
1751,1471,60422
1776,1536,61536
1801,1590,64669
1826,1588,64087
1851,1667,65338
1876,1916,65083
1901,1761,68043
1926,1852,68234
1951,1949,69405
1976,1920,70384
2001,2062,73345
2026,2036,72466
2051,2121,73375
2076,2202,75701
2101,2335,77296
2126,2376,78229
2151,2374,75405
2176,2468,77846
2201,2505,80297
2226,2696,79038
2251,2649,81534
2276,2666,82889
