communal ARCC MESA version loaded
Done - all matrices generated.
Running Held-Karp experiment...
HK: n=2, time=0ms, length=31
HK: n=3, time=0ms, length=75
HK: n=4, time=0ms, length=131
HK: n=5, time=0ms, length=126
HK: n=6, time=1ms, length=54
HK: n=7, time=2ms, length=89
HK: n=8, time=3ms, length=87
HK: n=9, time=4ms, length=124
HK: n=10, time=13ms, length=94
HK: n=11, time=31ms, length=123
HK: n=12, time=82ms, length=97
HK: n=13, time=210ms, length=134
HK: n=14, time=509ms, length=122
HK: n=15, time=1246ms, length=122
HK: n=16, time=3056ms, length=156
HK: n=17, time=7425ms, length=115
HK: n=18, time=17826ms, length=155
HK: n=19, time=42257ms, length=131
HK: n=20, time=99828ms, length=130

Running Local Search experiment...
LS: n=2, time=0ms, length=31
LS: n=3, time=0ms, length=75
LS: n=4, time=0ms, length=131
LS: n=5, time=0ms, length=169
LS: n=6, time=0ms, length=184
LS: n=7, time=0ms, length=162
LS: n=8, time=0ms, length=199
LS: n=9, time=0ms, length=274
LS: n=10, time=0ms, length=166
LS: n=11, time=0ms, length=269
LS: n=12, time=0ms, length=301
LS: n=13, time=0ms, length=412
LS: n=14, time=0ms, length=218
LS: n=15, time=0ms, length=413
LS: n=16, time=0ms, length=309
LS: n=17, time=1ms, length=383
LS: n=18, time=0ms, length=417
LS: n=19, time=0ms, length=455
LS: n=20, time=0ms, length=530
LS: n=21, time=0ms, length=614
LS: n=22, time=0ms, length=454
LS: n=23, time=0ms, length=520
LS: n=24, time=1ms, length=727
LS: n=25, time=0ms, length=637
LS: n=26, time=0ms, length=786
LS: n=27, time=1ms, length=972
LS: n=28, time=0ms, length=893
LS: n=29, time=0ms, length=900
LS: n=30, time=0ms, length=859
LS: n=31, time=0ms, length=816
LS: n=32, time=0ms, length=763
LS: n=33, time=1ms, length=752
LS: n=34, time=0ms, length=1059
LS: n=35, time=0ms, length=961
LS: n=36, time=1ms, length=1183
LS: n=37, time=0ms, length=721
LS: n=38, time=1ms, length=995
LS: n=39, time=1ms, length=865
LS: n=40, time=0ms, length=943
LS: n=41, time=0ms, length=1254
LS: n=42, time=0ms, length=1225
LS: n=43, time=0ms, length=1256
LS: n=44, time=1ms, length=1395
LS: n=45, time=1ms, length=1239
LS: n=46, time=1ms, length=1333
LS: n=47, time=0ms, length=1239
LS: n=48, time=1ms, length=1097
LS: n=49, time=0ms, length=1286
LS: n=50, time=1ms, length=1193
LS: n=53, time=1ms, length=1597
LS: n=56, time=1ms, length=1319
LS: n=59, time=2ms, length=1474
LS: n=62, time=2ms, length=1590
LS: n=65, time=1ms, length=1861
LS: n=68, time=1ms, length=1911
LS: n=71, time=1ms, length=2083
LS: n=74, time=1ms, length=1929
LS: n=77, time=1ms, length=1850
LS: n=80, time=2ms, length=2147
LS: n=83, time=3ms, length=2028
LS: n=86, time=1ms, length=2360
LS: n=89, time=2ms, length=2336
LS: n=92, time=2ms, length=2468
LS: n=95, time=4ms, length=2426
LS: n=98, time=3ms, length=2577
LS: n=101, time=2ms, length=2811
LS: n=106, time=4ms, length=2656
LS: n=111, time=3ms, length=3408
LS: n=116, time=2ms, length=3493
LS: n=121, time=7ms, length=3319
LS: n=126, time=6ms, length=3402
LS: n=131, time=6ms, length=3292
LS: n=136, time=9ms, length=3311
LS: n=141, time=5ms, length=3961
LS: n=146, time=8ms, length=3736
LS: n=151, time=7ms, length=4181
LS: n=156, time=12ms, length=3987
LS: n=161, time=12ms, length=4059
LS: n=166, time=9ms, length=5159
LS: n=171, time=12ms, length=4647
LS: n=176, time=15ms, length=5058
LS: n=181, time=16ms, length=4421
LS: n=186, time=16ms, length=4462
LS: n=191, time=16ms, length=5268
LS: n=196, time=18ms, length=4938
LS: n=201, time=18ms, length=5536
LS: n=206, time=21ms, length=5662
LS: n=211, time=22ms, length=5578
LS: n=216, time=22ms, length=5563
LS: n=221, time=22ms, length=6323
LS: n=226, time=18ms, length=6286
LS: n=231, time=27ms, length=6260
LS: n=236, time=28ms, length=6819
LS: n=241, time=28ms, length=6958
LS: n=246, time=26ms, length=7560
LS: n=251, time=31ms, length=6995
LS: n=256, time=33ms, length=6353
LS: n=261, time=34ms, length=7189
LS: n=266, time=36ms, length=7134
LS: n=271, time=38ms, length=7367
