communal ARCC MESA version loaded
/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25
    fs.writeFileSync(fname, JSON.stringify(mat));
                                 ^

RangeError: Invalid string length
    at JSON.stringify (<anonymous>)
    at Object.<anonymous> (/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25:34)
    at Module._compile (node:internal/modules/cjs/loader:1730:14)
    at Object..js (node:internal/modules/cjs/loader:1895:10)
    at Module.load (node:internal/modules/cjs/loader:1465:32)
    at Function._load (node:internal/modules/cjs/loader:1282:12)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:235:24)
    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:170:5)
    at node:internal/main/run_main_module:36:49

Node.js v22.15.0
Running Held-Karp experiment...
HK: n=2, time=0ms, length=32
HK: n=3, time=0ms, length=52
HK: n=4, time=0ms, length=144
HK: n=5, time=1ms, length=124
HK: n=6, time=1ms, length=81
HK: n=7, time=2ms, length=99
HK: n=8, time=2ms, length=96
HK: n=9, time=5ms, length=122
HK: n=10, time=13ms, length=113
HK: n=11, time=31ms, length=158
HK: n=12, time=81ms, length=94
HK: n=13, time=209ms, length=198
HK: n=14, time=506ms, length=115
HK: n=15, time=1246ms, length=141
HK: n=16, time=3044ms, length=135
HK: n=17, time=7423ms, length=178
HK: n=18, time=17781ms, length=154
HK: n=19, time=42356ms, length=144
HK: n=20, time=100516ms, length=134

Running Local Search experiment...
LS: n=2, time=0ms, length=32
LS: n=3, time=0ms, length=103
LS: n=4, time=0ms, length=149
LS: n=5, time=0ms, length=181
LS: n=6, time=0ms, length=97
LS: n=7, time=0ms, length=232
LS: n=8, time=0ms, length=184
LS: n=9, time=0ms, length=243
LS: n=10, time=0ms, length=214
LS: n=11, time=0ms, length=204
LS: n=12, time=0ms, length=188
LS: n=13, time=0ms, length=412
LS: n=14, time=1ms, length=268
LS: n=15, time=0ms, length=402
LS: n=16, time=0ms, length=355
LS: n=17, time=0ms, length=463
LS: n=18, time=0ms, length=438
LS: n=19, time=0ms, length=586
LS: n=20, time=0ms, length=634
LS: n=21, time=0ms, length=510
LS: n=22, time=0ms, length=647
LS: n=23, time=2ms, length=594
LS: n=24, time=0ms, length=421
LS: n=25, time=0ms, length=704
LS: n=26, time=0ms, length=625
LS: n=27, time=1ms, length=557
LS: n=28, time=0ms, length=870
LS: n=29, time=1ms, length=812
LS: n=30, time=0ms, length=936
LS: n=31, time=0ms, length=1025
LS: n=32, time=1ms, length=879
LS: n=33, time=0ms, length=827
LS: n=34, time=0ms, length=717
LS: n=35, time=0ms, length=1073
LS: n=36, time=1ms, length=838
LS: n=37, time=0ms, length=833
LS: n=38, time=0ms, length=1072
LS: n=39, time=0ms, length=998
LS: n=40, time=0ms, length=933
LS: n=41, time=0ms, length=974
LS: n=42, time=0ms, length=1086
LS: n=43, time=0ms, length=1444
LS: n=44, time=0ms, length=1124
LS: n=45, time=2ms, length=1252
LS: n=46, time=0ms, length=937
LS: n=47, time=1ms, length=1132
LS: n=48, time=0ms, length=1411
LS: n=49, time=0ms, length=1399
LS: n=50, time=1ms, length=1194
LS: n=53, time=1ms, length=1395
LS: n=56, time=1ms, length=1402
LS: n=59, time=1ms, length=1378
LS: n=62, time=1ms, length=1611
LS: n=65, time=0ms, length=1496
LS: n=68, time=1ms, length=1668
LS: n=71, time=2ms, length=2048
LS: n=74, time=0ms, length=2128
LS: n=77, time=1ms, length=1742
LS: n=80, time=2ms, length=2193
LS: n=83, time=1ms, length=2243
LS: n=86, time=3ms, length=2545
LS: n=89, time=3ms, length=2509
LS: n=92, time=3ms, length=2447
LS: n=95, time=3ms, length=2837
LS: n=98, time=2ms, length=2663
LS: n=101, time=4ms, length=2634
LS: n=106, time=2ms, length=2971
LS: n=111, time=6ms, length=2942
LS: n=116, time=4ms, length=2988
LS: n=121, time=6ms, length=3375
LS: n=126, time=4ms, length=3364
LS: n=131, time=8ms, length=3704
LS: n=136, time=9ms, length=3500
LS: n=141, time=8ms, length=3580
LS: n=146, time=5ms, length=4285
LS: n=151, time=9ms, length=4084
LS: n=156, time=10ms, length=3936
LS: n=161, time=13ms, length=3776
LS: n=166, time=10ms, length=4520
LS: n=171, time=12ms, length=4789
LS: n=176, time=15ms, length=4427
LS: n=181, time=9ms, length=5353
LS: n=186, time=15ms, length=4988
LS: n=191, time=13ms, length=4922
